bits,quantizer,layer,mse,rmse,max_err,p99_err,p999_err,rel_med,rel_p95,rel_p99,cos_med,cos_p01,n_pairs
8,log_polar,7,0.7958109378814697,0.8920823335647583,6.151134014129639,4.861778736114502,5.693238735198975,0.2568129599094391,0.5350946187973022,0.5928286910057068,0.9948078989982605,0.9480116367340088,786432
8,log_polar,8,0.49886825680732727,0.7063060402870178,6.761197090148926,2.649120330810547,6.248727798461914,0.25735005736351013,0.5367297530174255,0.5904678106307983,0.9950726628303528,0.9492014646530151,786432
8,log_polar,9,0.8053011894226074,0.8973857760429382,6.816100120544434,3.326632022857666,6.178518772125244,0.2750142812728882,0.5428720116615295,0.5946099758148193,0.9952736496925354,0.9460307955741882,786432
8,log_polar,10,0.7771397233009338,0.8815552592277527,7.632352828979492,3.8916566371917725,6.608273506164551,0.27308622002601624,0.5474269390106201,0.5972303152084351,0.9949144721031189,0.9451234936714172,786432
8,log_polar,11,1.5727134943008423,1.25407874584198,6.768026828765869,5.882803916931152,6.336250305175781,0.28442972898483276,0.5482310652732849,0.603672444820404,0.9956189393997192,0.9565537571907043,786432
8,log_polar,12,0.22456617653369904,0.47388413548469543,7.525688648223877,1.971303939819336,4.977718353271484,0.24288201332092285,0.5213983058929443,0.5862953066825867,0.9950993657112122,0.9535699486732483,786432
8,log_polar,13,0.27536696195602417,0.5247541666030884,7.3507280349731445,2.2072408199310303,6.432367324829102,0.27253299951553345,0.5421660542488098,0.5982387661933899,0.9950634837150574,0.939836859703064,786432
8,log_polar,14,0.22397594153881073,0.4732609689235687,5.246321201324463,2.010449171066284,4.262611389160156,0.2467544972896576,0.5545070767402649,0.605023205280304,0.9948355555534363,0.9439613819122314,786432
8,log_polar,15,0.21107715368270874,0.45943135023117065,6.741378307342529,1.8131223917007446,4.733456134796143,0.25701621174812317,0.5312258005142212,0.5913713574409485,0.9946805834770203,0.9578002095222473,786432
8,log_polar,16,0.24343471229076385,0.4933910369873047,6.116923809051514,2.1310150623321533,4.998188495635986,0.25961291790008545,0.5340996980667114,0.5926921963691711,0.9941408038139343,0.9406540393829346,786432
8,log_polar,17,0.19186662137508392,0.4380258321762085,6.2038092613220215,2.280541181564331,4.62570333480835,0.2623632550239563,0.5472410321235657,0.5930054783821106,0.9958260655403137,0.9535050988197327,786432
8,log_polar,18,0.18150830268859863,0.42603790760040283,8.636096000671387,1.735990047454834,4.1210856437683105,0.24547827243804932,0.5265044569969177,0.5878279209136963,0.9943665862083435,0.9565646648406982,786432
8,log_polar,19,0.20620547235012054,0.45409852266311646,7.741257667541504,1.7223256826400757,6.139479160308838,0.2553642690181732,0.534786581993103,0.5921618342399597,0.9954982995986938,0.9572861790657043,786432
8,log_polar,20,0.16459117829799652,0.40569838881492615,5.051669597625732,1.6794846057891846,3.7695999145507812,0.2514527440071106,0.5234187841415405,0.5870926380157471,0.9953170418739319,0.9600661396980286,786432
8,log_polar,21,0.1951936036348343,0.44180721044540405,5.712011337280273,1.9005523920059204,4.493778705596924,0.25012221932411194,0.5518079400062561,0.6120842099189758,0.9945392608642578,0.9412775635719299,786432
8,log_polar,22,0.2752401828765869,0.5246334075927734,7.392177581787109,2.1762216091156006,5.025936126708984,0.2467777580022812,0.5297438502311707,0.5938133597373962,0.9948967695236206,0.9545862078666687,786432
8,log_polar,23,0.20265328884124756,0.45017027854919434,5.414033889770508,1.941213846206665,4.582809925079346,0.23964014649391174,0.5321138501167297,0.5878005027770996,0.9944747686386108,0.9584184288978577,786432
8,log_polar,24,0.1874183863401413,0.4329184591770172,5.537272930145264,1.9779274463653564,3.815999984741211,0.25833022594451904,0.5395487546920776,0.5885145664215088,0.9949397444725037,0.9514087438583374,786432
8,log_polar,25,0.2684847116470337,0.5181550979614258,8.102700233459473,2.139164686203003,6.077899932861328,0.2548433542251587,0.5276566743850708,0.5908016562461853,0.9948614835739136,0.9539244771003723,786432
8,log_polar,26,0.3206753134727478,0.5662820339202881,6.820247650146484,2.4483344554901123,5.506795883178711,0.24900048971176147,0.5465447902679443,0.5938437581062317,0.9950410723686218,0.9439684748649597,786432
8,log_polar,27,0.3717544376850128,0.6097167134284973,9.038665771484375,2.3648765087127686,7.170170783996582,0.2500962018966675,0.5229150652885437,0.58689945936203,0.9954593777656555,0.95551997423172,786432
8,log_polar,28,0.21709148585796356,0.4659307599067688,5.449867248535156,1.907792091369629,4.547443389892578,0.24836832284927368,0.5334989428520203,0.5876829028129578,0.9950495362281799,0.9554349184036255,786432
8,log_polar,29,0.2723773121833801,0.5218977928161621,6.932100296020508,1.8479187488555908,5.099701404571533,0.25718510150909424,0.5250527858734131,0.5915746092796326,0.9954032897949219,0.9550994634628296,786432
8,fp4_like,ALL,0.2632577419281006,0.5130864977836609,3.3380839824676514,1.0559780597686768,1.6364970207214355,1.0,1.0,1.0,-0.0,-0.0,23592960
8,fp4_like,0,0.1444246619939804,0.3800324499607086,1.8030935525894165,1.192250370979309,1.6719820499420166,0.16798315942287445,1.0,1.0,0.9958236813545227,0.0,786432
8,fp4_like,1,0.2586362957954407,0.5085629820823669,2.7001564502716064,1.1875590085983276,2.1757121086120605,0.3844131529331207,1.0,1.0,0.9748002290725708,0.0,786432
8,fp4_like,2,0.30884483456611633,0.555738091468811,2.930753469467163,1.666885495185852,2.5594677925109863,0.4578150808811188,1.0,1.0,0.9669502377510071,-0.0,786432
8,fp4_like,3,0.23847056925296783,0.4883344769477844,2.3955397605895996,1.3383504152297974,2.0767834186553955,0.35817235708236694,1.0,1.0,0.9779571890830994,0.0,786432
8,fp4_like,4,0.21723651885986328,0.46608638763427734,2.339266061782837,0.8795872330665588,1.7370866537094116,0.2668600082397461,1.0,1.0,0.9876905679702759,0.0,786432
